step,x,y,vx,vy,ax,ay,goal_distance,obstacle_distance
17.0,0.003615908032908026,0.0005425141255965373,0.020045469307675496,0.003008399989518882,0.05853160150059901,0.008798488707071167,10.108217828384861,3.99638412142055
18.0,0.004040230059661775,0.0006062015208697434,0.021216101337687476,0.0031843697636603054,0.058484343569711286,0.00879433128385352,10.10778875349022,3.995959806718085
19.0,0.004487945823843409,0.0006734066486564909,0.022385788209081704,0.003360256389337376,0.058437087730207324,0.008790414526659707,10.107336021856174,3.995512099564548
20.0,0.004959036423117126,0.0007441279422539023,0.02355452996368585,0.0035360646798705702,0.058389833608812024,0.00878674059025215,10.106859652408335,3.9950410190044954
21.0,0.005453482955834368,0.0008183639320874145,0.02472232663586209,0.0037117994916756134,0.05834258088012819,0.008783311298561504,10.106359664057228,3.994546584089244
22.0,0.005971266520903662,0.0008961132464403514,0.025889178253464654,0.0038874657176468435,0.058295329258790954,0.008780128196858236,10.10583607569831,3.994028813877006
23.0,0.006512368217676471,0.0009773746120720316,0.027055084838640473,0.004063068281584008,0.05824807849263259,0.008777192597206922,10.105288906211994,3.993487727433018
24.0,0.007076769145846333,0.0010621468547425946,0.028220046408493123,0.004238612133528147,0.05820082835673299,0.008774505618029305,10.104718174463665,3.9929233438296468
25.0,0.007664450405358889,0.0011504288996603692,0.029384062975627782,0.0044141022458887335,0.05815357864824591,0.008772068218504384,10.104123899303714,3.9923356821464915
26.0,0.008275393096330743,0.0012422197718655456,0.0305471345485927,0.0045895436102588215,0.05810632918190438,0.008769881228447149,10.103506099567548,3.9917247614704827
27.0,0.008909578318975358,0.001337518596562101,0.031709261132230784,0.004764941234827765,0.05805907978611974,0.008767945374230915,10.10286479407562,3.991090600895967
28.0,0.009566987173534422,0.0014363245994083486,0.03287044272795318,0.004940300142312383,0.058011830299599436,0.008766261301250546,10.102200001633458,3.990433219524793
29.0,0.010247600760213325,0.0015386371067750964,0.034030679333945164,0.005115625368337394,0.05796458056841779,0.008764829593364026,10.10151174103168,3.9897526364663958
30.0,0.010951400179119596,0.0016444555459791898,0.03518997094531352,0.005290921960204674,0.057917330443481345,0.008763650789696938,10.100800031046035,3.989048870837881
31.0,0.011678366530203259,0.001753779445499162,0.03634831755418315,0.005466194975998613,0.05787007977833841,0.00876272539914791,10.100064890437418,3.9883219417640956
32.0,0.012428480913198257,0.0018666084351787935,0.037505719149749914,0.005641449483981572,0.05782282842728771,0.008762053912891567,10.099306337951896,3.987571868377726
33.0,0.01320172442756417,0.0019829422464235813,0.038662175718295666,0.005816690562239403,0.05777557624374691,0.008761636815139716,10.098524392320755,3.9867986698193634
34.0,0.013998078172427581,0.0021027807123944254,0.039817687243170606,0.005991923298542197,0.05772832307884697,0.008761474592388867,10.097719072260503,3.9860023652376033
35.0,0.014817523246522532,0.002226123768202225,0.040972253704747545,0.006167152790389974,0.057681068780221834,0.008761567741354736,10.096890396472924,3.9851829737891236
36.0,0.015660040748129572,0.0023529714511065663,0.04212587508035198,0.006342384145217069,0.057633813190967303,0.008761916775768692,10.09603838364509,3.9843405146387805
37.0,0.016525611775012997,0.002483323900721215,0.04327855134417133,0.006517622480732442,0.057586556148745874,0.00876252223218986,10.095163052449411,3.9834750069597025
38.0,0.01741421742435592,0.0026171813592287397,0.04443028246714625,0.00669287292537624,0.05753929748501736,0.008763384674967158,10.09426442154365,3.982586469933383
39.0,0.018325838792692853,0.002754544171606251,0.045581068416846594,0.006868140618875583,0.05749203702437785,0.008764504700468476,10.093342509570968,3.9816749227497894
40.0,0.019260456975839536,0.0028954127858639503,0.046730909157334154,0.007043430712884952,0.05744477458399134,0.008765882940679436,10.092397335159953,3.980740384607466
