step,time,x,y,z,vx,vy,vz,roll,pitch,yaw,yaw_rate,desired_vx_body,desired_vy_body,desired_yaw_rate,desired_altitude,goal_distance,motor_m1,motor_m2,motor_m3,motor_m4
10.0,2.368,-1.2,-0.9,0.014980771531039308,0.0,0.0,2.559001760656357e-06,0.0,0.0,0.0,8.474483397474571e-17,0.0,0.0,0.0,1.0,3.157572308032484,59.58381379479675,59.58381379479675,59.58381379479675,59.58381379479675
11.0,2.4,-1.2,-0.9,0.014980864271600187,0.0,0.0,2.8981425274497856e-06,0.0,0.0,0.0,4.446420747623994e-17,0.0,0.0,0.0,1.0,3.15757227910164,59.741414233403844,59.741414233403844,59.741414233403844,59.741414233403844
12.0,2.432,-1.2,-0.9,0.014980968053479137,0.0,0.0,3.2431837171885904e-06,0.0,0.0,0.0,-1.08394849443218e-16,0.0,0.0,0.0,1.0,3.1575722467264087,59.89901451549055,59.89901451549055,59.89901451549055,59.89901451549055
13.0,2.464,-1.2,-0.9,0.014981083027723292,0.0,0.0,3.592945129837849e-06,0.0,0.0,0.0,-1.245220680276697e-16,0.0,0.0,0.0,1.0,3.157572210859672,60.056614643656616,60.056614643656616,60.056614643656616,60.056614643656616
14.0,2.496,-1.2,-0.9,0.014981209315167414,0.0,0.0,3.946482628810075e-06,0.0,0.0,0.0,1.0875408172083001e-16,0.0,0.0,0.0,1.0,3.1575721714637353,60.21421461960424,60.21421461960424,60.21421461960424,60.21421461960424
15.0,2.528,-1.2,-0.9,0.014981347012476953,0.0,0.0,4.303040923093241e-06,0.0,0.0,0.0,4.908706591799743e-17,0.0,0.0,0.0,1.0,3.1575721285084453,60.371814444317685,60.371814444317685,60.371814444317685,60.371814444317685
16.0,2.56,-1.2,-0.9,0.014981496196982375,0.0,0.0,4.662015794460249e-06,0.0,0.0,0.0,-3.156483696355691e-18,0.0,0.0,0.0,1.0,3.1575720819696795,60.52941411820676,60.52941411820676,60.52941411820676,60.52941411820676
17.0,2.592,-1.2,-0.9,0.014981656930546549,0.0,0.0,5.022923880429113e-06,0.0,0.0,0.0,9.523554223432902e-17,0.0,0.0,0.0,1.0,3.1575720318281406,60.68701364122181,60.68701364122181,60.68701364122181,60.68701364122181
18.0,2.624,-1.2,-0.9,0.014981829262658553,0.0,0.0,5.385378500132385e-06,0.0,0.0,0.0,-5.64039050141536e-17,0.0,0.0,0.0,1.0,3.1575719780683924,60.84461301294555,60.84461301294555,60.84461301294555,60.84461301294555
19.0,2.656,-1.2,-0.9,0.014982013232908695,0.0,0.0,5.749070316920889e-06,0.0,0.0,0.0,-1.5467247615743467e-17,0.0,0.0,0.0,1.0,3.1575719206780857,61.00221223266671,61.00221223266671,61.00221223266671,61.00221223266671
20.0,2.688,-1.2,-0.9,0.014982208872968437,0.0,0.0,6.1137518669613455e-06,0.0,0.0,0.0,2.6149473784381975e-17,0.0,0.0,0.0,1.0,3.1575718596473425,61.15981129943869,61.15981129943869,61.15981129943869,61.15981129943869
21.0,2.72,-1.2,-0.9,0.014982416208174334,0.0,0.0,6.479225184261196e-06,0.0,0.0,0.0,-5.60009387272824e-17,0.0,0.0,0.0,1.0,3.1575717949682613,61.31741021212673,61.31741021212673,61.31741021212673,61.31741021212673
22.0,2.7520000000000002,-1.2,-0.9,0.014982635258795134,0.0,0.0,6.845331900005418e-06,0.0,0.0,0.0,5.471987189543825e-17,0.0,0.0,0.0,1.0,3.1575717266345205,61.475008969445526,61.475008969445526,61.475008969445526,61.475008969445526
23.0,2.7840000000000003,-1.2,-0.9,0.01498286604104544,0.0,0.0,7.2119453220801795e-06,0.0,0.0,0.0,2.826156660392541e-17,0.0,0.0,0.0,1.0,3.157571654641065,61.632607569989354,61.632607569989354,61.632607569989354,61.632607569989354
